# Renewables.ninja Weather (Point API) - 43.653, -79.384 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in America/Toronto, temperature in ºC, precipitation in mm/h, snowfall in mm/h, snow_mass in kg/m², air_density in kg/m³, radiation_surface in W/m², radiation_toa in W/m², cloud_cover in fraction
# {"units": {"time": "UTC", "local_time": "America/Toronto", "temperature": "\u00baC", "precipitation": "mm/h", "snowfall": "mm/h", "snow_mass": "kg/m\u00b2", "air_density": "kg/m\u00b3", "radiation_surface": "W/m\u00b2", "radiation_toa": "W/m\u00b2", "cloud_cover": "fraction"}, "params": {"local_time": true, "header": true, "lat": "43.6534817", "lon": "-79.3839347", "date_from": "2004-01-01", "date_to": "2004-12-31", "dataset": "merra2", "var_t2m": true, "var_prectotland": true, "var_precsnoland": true, "var_snomas": true, "var_rhoa": true, "var_swgdn": true, "var_swtdn": true, "var_cldtot": true}}
time,local_time,temperature,precipitation,snowfall,snow_mass,air_density,radiation_surface,radiation_toa,cloud_cover
2004-01-01 00:00,2003-12-31 19:00,0.421,0,0,1.154,1.272,0,0,0.039
2004-01-01 01:00,2003-12-31 20:00,0.137,0,0,1.154,1.275,0,0,0.035
2004-01-01 02:00,2003-12-31 21:00,0.085,0,0,1.154,1.276,0,0,0.033
2004-01-01 03:00,2003-12-31 22:00,0.036,0,0,1.155,1.277,0,0,0.064
2004-01-01 04:00,2003-12-31 23:00,0.087,0,0,1.155,1.278,0,0,0.094
2004-01-01 05:00,2004-01-01 00:00,0.198,0.001,0,1.156,1.279,0,0,0.118
2004-01-01 06:00,2004-01-01 01:00,0.339,0.001,0,1.156,1.279,0,0,0.148
2004-01-01 07:00,2004-01-01 02:00,0.502,0.001,0.001,1.156,1.280,0,0,0.144
2004-01-01 08:00,2004-01-01 03:00,0.534,0,0,1.157,1.280,0,0,0.159
2004-01-01 09:00,2004-01-01 04:00,0.494,0,0,1.157,1.281,0,0,0.194
2004-01-01 10:00,2004-01-01 05:00,0.331,0,0,1.158,1.282,0,0,0.137
2004-01-01 11:00,2004-01-01 06:00,0.079,0,0,1.158,1.284,0,0,0.124
2004-01-01 12:00,2004-01-01 07:00,-0.103,0,0,1.159,1.286,0.297,1.386,0.131
2004-01-01 13:00,2004-01-01 08:00,0.145,0,0,1.159,1.288,61.136,129.696,0.126
2004-01-01 14:00,2004-01-01 09:00,0.885,0,0,1.158,1.288,185.368,314.938,0.131
2004-01-01 15:00,2004-01-01 10:00,1.396,0,0,1.147,1.287,295.861,452.835,0.210
2004-01-01 16:00,2004-01-01 11:00,1.880,0,0,1.123,1.284,343.999,533.844,0.600
2004-01-01 17:00,2004-01-01 12:00,2.188,0,0,1.094,1.280,280.711,552.554,0.943
2004-01-01 18:00,2004-01-01 13:00,2.294,0,0,1.072,1.278,169.445,507.708,0.991
2004-01-01 19:00,2004-01-01 14:00,2.364,0,0,1.062,1.276,112.707,402.260,0.992
2004-01-01 20:00,2004-01-01 15:00,2.321,0,0,1.058,1.274,64.536,243.504,0.992
2004-01-01 21:00,2004-01-01 16:00,2.105,0,0,1.058,1.274,10.118,52.775,0.993
2004-01-01 22:00,2004-01-01 17:00,2.074,0,0,1.058,1.274,0,0,0.990
2004-01-01 23:00,2004-01-01 18:00,1.957,0,0,1.058,1.274,0,0,0.973
2004-01-02 00:00,2004-01-01 19:00,1.677,0,0,1.058,1.273,0,0,0.974
2004-01-02 01:00,2004-01-01 20:00,1.543,0,0,1.058,1.272,0,0,0.985
2004-01-02 02:00,2004-01-01 21:00,1.687,0.003,0.002,1.059,1.271,0,0,0.989
2004-01-02 03:00,2004-01-01 22:00,1.877,0.009,0.005,1.063,1.269,0,0,0.988
2004-01-02 04:00,2004-01-01 23:00,2.026,0.022,0.014,1.074,1.266,0,0,0.993
2004-01-02 05:00,2004-01-02 00:00,2.163,0.055,0.035,1.100,1.264,0,0,0.994
2004-01-02 06:00,2004-01-02 01:00,2.413,0.302,0.112,1.175,1.263,0,0,0.991
2004-01-02 07:00,2004-01-02 02:00,2.231,0.318,0.110,1.279,1.264,0,0,0.988
2004-01-02 08:00,2004-01-02 03:00,1.696,0.205,0.090,1.373,1.265,0,0,0.990
