Date,Hour,Toronto,HOEP
2004-01-01,1,4606,30.9
2004-01-01,2,4366,27.13
2004-01-01,3,4188,25.23
2004-01-01,4,4046,24.29
2004-01-01,5,3974,24.42
2004-01-01,6,3966,26.23
2004-01-01,7,4023,26.44
2004-01-01,8,4082,20.7
2004-01-01,9,4112,19.87
2004-01-01,10,4301,20.64
2004-01-01,11,4496,21.58
2004-01-01,12,4688,26.94
2004-01-01,13,4795,28.88
2004-01-01,14,4796,23.01
2004-01-01,15,4719,20.36
2004-01-01,16,4819,20.96
2004-01-01,17,5053,28.84
2004-01-01,18,5500,34.25
2004-01-01,19,5528,34.89
2004-01-01,20,5441,32.81
2004-01-01,21,5339,32.38
2004-01-01,22,5193,32.91
2004-01-01,23,4962,31.86
2004-01-01,24,4644,28.33
2004-01-02,1,4331,27.18
2004-01-02,2,4136,25.76
2004-01-02,3,4083,28.02
2004-01-02,4,4046,25.91
2004-01-02,5,4023,26.46
2004-01-02,6,4122,29.0
2004-01-02,7,4407,30.45
2004-01-02,8,4804,31.44
2004-01-02,9,5072,32.46
2004-01-02,10,5365,34.46
2004-01-02,11,5583,31.52
2004-01-02,12,5674,31.1
2004-01-02,13,5654,30.88
2004-01-02,14,5606,30.51
2004-01-02,15,5551,30.28
2004-01-02,16,5555,30.42
2004-01-02,17,5760,30.89
2004-01-02,18,6160,55.19
2004-01-02,19,6151,36.82
2004-01-02,20,5980,52.75
2004-01-02,21,5795,32.52
2004-01-02,22,5563,36.0
2004-01-02,23,5284,32.2
2004-01-02,24,4909,30.77
2004-01-03,1,4590,30.04
2004-01-03,2,4333,30.04
2004-01-03,3,4166,28.69
2004-01-03,4,4047,26.29
2004-01-03,5,4005,26.74
2004-01-03,6,4022,25.94
2004-01-03,7,4145,28.48
2004-01-03,8,4348,29.98
2004-01-03,9,4578,29.46
2004-01-03,10,4846,29.1
2004-01-03,11,5100,28.86
2004-01-03,12,5213,29.2
2004-01-03,13,5297,29.5
2004-01-03,14,5245,29.13
2004-01-03,15,5201,29.11
2004-01-03,16,5170,28.94
2004-01-03,17,5392,30.37
2004-01-03,18,5809,50.86
2004-01-03,19,5800,30.09
2004-01-03,20,5653,29.5
2004-01-03,21,5484,29.71
2004-01-03,22,5335,29.67
2004-01-03,23,5109,29.4
2004-01-03,24,4813,28.61
2004-01-04,1,4493,27.41
2004-01-04,2,4282,26.2
2004-01-04,3,4137,24.84
2004-01-04,4,4044,24.77
2004-01-04,5,3988,24.93
2004-01-04,6,4025,24.67
2004-01-04,7,4108,28.12
2004-01-04,8,4271,27.31
2004-01-04,9,4481,27.28
2004-01-04,10,4773,29.09
2004-01-04,11,5055,29.52
2004-01-04,12,5245,30.73
2004-01-04,13,5365,30.09
2004-01-04,14,5373,30.12
2004-01-04,15,5402,29.9
2004-01-04,16,5490,30.52
2004-01-04,17,5815,35.09
2004-01-04,18,6238,64.89
2004-01-04,19,6269,57.77
2004-01-04,20,6136,33.54
2004-01-04,21,5989,34.16
2004-01-04,22,5784,32.43
2004-01-04,23,5479,31.27
