,year_end_index,week_end_index,day_end_index,mse,sqrt_mse
0,0.0,0.0,2.0,601502.4781674573,775.5659083323978
1,0.0,0.0,4.0,538079.7664947684,733.53920583345
2,0.0,0.0,6.0,537970.8833701675,733.4649844199567
3,0.0,0.0,8.0,537075.6617009842,732.8544614730705
4,0.0,0.0,10.0,536530.7246768881,732.4825763640307
5,0.0,0.0,12.0,536537.2302434836,732.487017115992
6,0.0,0.0,14.0,536459.5120632891,732.4339643020994
7,0.0,0.0,16.0,536457.772972082,732.4327771011358
8,0.0,0.0,18.0,536448.5904714799,732.42650858054
9,0.0,0.0,20.0,536449.7117807847,732.4272740557827
10,0.0,0.0,22.0,536449.5000040943,732.4271294839469
11,0.0,24.0,0.0,985711.3921902075,992.8299915847665
12,0.0,24.0,2.0,477426.75039649307,690.9607444685212
13,0.0,24.0,4.0,413997.16977538477,643.4261183503393
14,0.0,24.0,6.0,413888.0054707386,643.3412822683918
15,0.0,24.0,8.0,412993.4810949917,642.6456886146453
16,0.0,24.0,10.0,412448.4923740056,642.2215290489767
17,0.0,24.0,12.0,412454.8260850157,642.226460125255
18,0.0,24.0,14.0,412377.1523379431,642.1659850365348
19,0.0,24.0,16.0,412375.3985017684,642.1646194721167
20,0.0,24.0,18.0,412366.2919756146,642.1575289410026
21,0.0,24.0,20.0,412367.43017672637,642.1584151723983
22,0.0,24.0,22.0,412367.2224603912,642.1582534394394
23,0.0,48.0,0.0,983302.0582055065,991.6158823886932
24,0.0,48.0,2.0,475015.3293957651,689.2135586273423
25,0.0,48.0,4.0,411565.3146368987,641.5335647001633
26,0.0,48.0,6.0,411456.2626651075,641.4485658765693
27,0.0,48.0,8.0,410560.7815339626,640.7501709199636
28,0.0,48.0,10.0,410015.65543610393,640.3246484683406
29,0.0,48.0,12.0,410022.0116744344,640.3296117426044
30,0.0,48.0,14.0,409944.39744711726,640.2690039718597
31,0.0,48.0,16.0,409942.7045024028,640.267681913122
32,0.0,48.0,18.0,409933.50036682806,640.260494148146
33,0.0,48.0,20.0,409934.64672334294,640.2613893741703
34,0.0,48.0,22.0,409934.40992334497,640.2612044496722
35,0.0,72.0,0.0,983026.3444304133,991.4768501737261
36,0.0,72.0,2.0,474738.42576585076,689.0126455776053
37,0.0,72.0,4.0,411287.8529326985,641.3172794590042
38,0.0,72.0,6.0,411178.7908499102,641.2322440815888
39,0.0,72.0,8.0,410282.4892572797,640.5329728103618
40,0.0,72.0,10.0,409736.55313295056,640.1066732451322
41,0.0,72.0,12.0,409742.82518760447,640.111572452494
42,0.0,72.0,14.0,409665.1925659873,640.0509296657473
43,0.0,72.0,16.0,409663.44763627485,640.0495665464315
44,0.0,72.0,18.0,409654.282599259,640.0424068757155
45,0.0,72.0,20.0,409655.4380374197,640.0433095013334
46,0.0,72.0,22.0,409655.183874352,640.0431109498422
47,0.0,96.0,0.0,983001.9505675097,991.4645483160302
48,0.0,96.0,2.0,474713.5093548513,688.9945640967361
