,selected columns,mse,sqrt_mse
0,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",366044.8949898045,605.0164419169156
1,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1)",286456.510638598,535.2163213492261
2,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0)",366046.7094921678,605.0179414630345
3,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1)",286456.6363428129,535.2164387823051
4,"(0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0)",362439.26197297766,602.02928664059
5,"(0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1)",285918.29795066454,534.7132857435511
6,"(0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0)",362440.19685785734,602.0300630847743
7,"(0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1)",285918.4276147156,534.7134069898711
8,"(0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0)",352168.35876862373,593.4377463294896
9,"(0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1)",273397.46989084285,522.8742390774696
10,"(0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0)",352169.22030009015,593.43847221097
11,"(0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1)",273397.56153664866,522.8743267140285
12,"(0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0)",348513.84747556865,590.3506140215055
13,"(0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1)",272848.9180651745,522.3494214270506
14,"(0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0)",348514.73220893403,590.3513633497715
15,"(0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1)",272849.01315960044,522.3495124527259
16,"(0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0)",360948.09554481076,600.7895601163611
17,"(0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1)",280690.39738912566,529.802224786878
18,"(0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0)",360949.05054826016,600.7903549061521
19,"(0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1)",280690.62914693984,529.8024435078984
20,"(0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0)",352902.87682353286,594.0562909552704
21,"(0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1)",277829.5944572009,527.0954320208067
22,"(0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0)",352903.9906143645,594.0572284000629
23,"(0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1)",277829.85373121774,527.0956779667405
24,"(0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0)",352908.72351382737,594.0612119250233
25,"(0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1)",274450.59013588633,523.8803204319536
26,"(0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0)",352909.80153602397,594.0621192569208
27,"(0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1)",274450.88690201304,523.8806036703526
28,"(0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0)",350860.7729649362,592.335017506931
29,"(0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1)",273985.7093209392,523.436442484605
30,"(0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0)",350862.29779026366,592.3363046363642
31,"(0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1)",273986.11634157755,523.4368312810798
32,"(0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0)",301727.10085230466,549.2969150216526
33,"(0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1)",281164.1247150729,530.2491157136171
34,"(0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0)",301727.3289783095,549.2971226743406
35,"(0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1)",281163.44913653936,530.2484786744224
36,"(0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0)",300934.0946734115,548.5746026507347
37,"(0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1)",280759.3620240291,529.8673060531562
38,"(0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0)",300934.328191493,548.5748154914633
39,"(0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1)",280758.7002597522,529.8666815905226
40,"(0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0)",287666.28917672264,536.3453077791607
41,"(0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1)",269621.99386342784,519.2513782970901
42,"(0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0)",287666.45846469107,536.3454655953484
43,"(0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1)",269621.2692090268,519.2506805089685
44,"(0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0)",286866.0219704306,535.598750904472
45,"(0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1)",269195.9975758108,518.8410137757141
46,"(0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0)",286866.1964426468,535.598913780309
47,"(0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1)",269195.2874835794,518.8403294690761
48,"(0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0)",296254.19771506684,544.2923825620444
49,"(0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1)",277359.6853573188,526.6494900380317
