,batch_size,num_layers,dropout,bidirectional,rmse,mse
0,183,2,0.0,False,780.3541172120414,608952.5482497844
1,183,2,0.0,True,627.7571054642523,394078.98346085637
2,183,3,0.0,False,649.9097593210894,422382.69526079635
3,183,3,0.0,True,932.7110657930639,869949.932252833
4,183,4,0.0,False,647.456238201398,419199.5803859055
5,183,4,0.0,True,902.449076655376,814414.3359561405
6,549,2,0.0,False,2144.1164918851227,4597235.530773766
7,549,2,0.0,True,659.7067996927316,435213.0615608258
8,549,3,0.0,False,735.1438443762167,540436.4719242431
9,549,3,0.0,True,1124.5543707952108,1264622.5328746126
10,549,4,0.0,False,803.0479274625831,644885.9738019501
11,549,4,0.0,True,925.2807636953967,856144.4916647364
