,batch_size,hidden_layer,rmse,mse
0,183,"(10,)",633.9987249827957,401954.38327981054
1,183,"(50,)",577.9073379229786,333976.89122522384
2,183,"(100,)",634.7651301682718,402926.770477543
3,183,"(200,)",524.6537961749191,275261.60584075353
4,183,"(300,)",494.7113222364603,244739.29234894688
5,183,"(400,)",491.9765671049285,242040.94258035024
6,183,"(500,)",479.99753146022744,230397.630207912
7,183,"(600,)",492.6423552582462,242696.49019439207
8,183,"(700,)",498.19061059942527,248193.8844894282
9,183,"(800,)",548.4027940186394,300745.62448745023
10,183,"(900,)",650.992685307107,423791.4763233581
11,183,"(1000,)",626.4235297697558,392406.43864920014
12,183,"(1100,)",548.795708038788,301176.72916179465
13,183,"(1200,)",655.15099736992,429222.8293548009
14,183,"(1300,)",603.842127830566,364625.3153429457
15,183,"(1400,)",571.9881237070666,327170.41366193054
16,183,"(1500,)",514.0569665865529,264254.56489616836
17,183,"(10, 10)",635.8220806040547,404269.7181836691
18,183,"(50, 50)",634.195487384138,402203.9162184043
19,183,"(100, 100)",625.6565259186484,391446.0884245924
20,183,"(200, 200)",641.3284210765014,411302.1436804783
21,183,"(300, 300)",539.4908199586329,291050.34481963806
22,183,"(400, 400)",516.0465692692065,266304.06165451795
23,183,"(500, 500)",487.5704399753927,237724.93393779796
24,183,"(600, 600)",531.0886644149024,282055.16947000485
25,183,"(700, 700)",486.2337199140044,236423.23038141048
26,183,"(800, 800)",506.32846333254025,256368.51278069156
27,183,"(900, 900)",553.6300093203629,306506.18722006504
28,183,"(1000, 1000)",511.45898933301066,261590.2977695447
29,183,"(1100, 1100)",490.90922299741493,240991.86522392568
30,183,"(1200, 1200)",467.5088289868789,218564.50518068275
31,183,"(1300, 1300)",511.1033042213903,261226.58758602306
32,183,"(1400, 1400)",482.40148554534056,232711.1932563514
33,183,"(1500, 1500)",476.64018360768523,227185.86462956786
34,549,"(10,)",677.1142639645699,458483.72646428115
35,549,"(50,)",620.925064869469,385547.93618315423
36,549,"(100,)",560.2874623799189,313922.040500129
37,549,"(200,)",548.0558598813527,300365.2255502889
38,549,"(300,)",524.2628536817883,274851.53975057224
39,549,"(400,)",517.5922863215325,267901.7748595512
40,549,"(500,)",513.8535510948899,264045.4719728286
41,549,"(600,)",518.9471357487063,269306.1297017862
42,549,"(700,)",509.432636198699,259521.610824356
43,549,"(800,)",485.0883012961893,235310.6600544225
44,549,"(900,)",495.95591100911844,245972.2656648846
45,549,"(1000,)",492.5931467114357,242648.00818707398
46,549,"(1100,)",489.56326350988763,239672.18897845168
47,549,"(1200,)",472.91456963976975,223648.1901775686
48,549,"(1300,)",500.535311132728,250535.59769073682
49,549,"(1400,)",482.2890635813481,232602.74085017364
50,549,"(1500,)",478.21576700425686,228690.3198114697
51,549,"(10, 10)",638.5783066525418,407782.2537272277
52,549,"(50, 50)",625.4352888011957,391169.30047783506
53,549,"(100, 100)",643.5616226084543,414171.5620944265
54,549,"(200, 200)",510.1863232358486,260290.08441691377
55,549,"(300, 300)",514.8791159275825,265100.5040183689
56,549,"(400, 400)",507.65317124759486,257711.74227773986
57,549,"(500, 500)",483.3075944822749,233586.2308842431
58,549,"(600, 600)",472.00497870745994,222788.6999246297
59,549,"(700, 700)",492.2494394439036,242309.51063283734
60,549,"(800, 800)",476.63210915683464,227178.16747929272
61,549,"(900, 900)",468.6648687077943,219646.7591608941
62,549,"(1000, 1000)",479.7446656571538,230154.94422649426
63,549,"(1100, 1100)",481.4157836165441,231761.15671513122
64,549,"(1200, 1200)",484.04777693484886,234302.2503555692
65,549,"(1300, 1300)",476.05969118333604,226632.82956957328
66,549,"(1400, 1400)",480.6351563597142,231010.1535289269
67,549,"(1500, 1500)",473.7598246606257,224448.37146246684
68,1098,"(10,)",1072.9160109360475,1151148.7665229207
69,1098,"(50,)",636.8099821520424,405526.95336848457
70,1098,"(100,)",631.3060027871953,398547.2691551463
71,1098,"(200,)",588.9953959561819,346915.57645757956
72,1098,"(300,)",562.0702768724502,315922.9961434728
73,1098,"(400,)",567.4583447379501,322008.9730127342
74,1098,"(500,)",538.9460986794081,290462.89728175435
75,1098,"(600,)",540.2524655363401,291872.72651809437
76,1098,"(700,)",534.6797151238248,285882.39776489453
77,1098,"(800,)",524.1477119262619,274730.82391753566
78,1098,"(900,)",518.546713487258,268890.69406843645
79,1098,"(1000,)",533.6443743982346,284776.31832688325
80,1098,"(1100,)",521.6144233633133,272081.60666064185
81,1098,"(1200,)",521.2991133015873,271752.76552902116
82,1098,"(1300,)",525.5151244549864,276166.14603093994
83,1098,"(1400,)",528.8659880438331,279699.2333095798
84,1098,"(1500,)",523.3933119576797,273940.559002029
85,1098,"(10, 10)",844.4408559512875,713080.359199743
86,1098,"(50, 50)",634.9851020486766,403206.0798237682
87,1098,"(100, 100)",636.1794939165213,404724.3484798811
88,1098,"(200, 200)",601.4402701768231,361730.39859036996
89,1098,"(300, 300)",535.1174873718455,286350.7252911573
90,1098,"(400, 400)",531.3487540238503,282331.4984026982
91,1098,"(500, 500)",515.7103963328102,265957.2128857442
92,1098,"(600, 600)",513.4496767394567,263630.5705438526
93,1098,"(700, 700)",506.381081443047,256421.79964342978
94,1098,"(800, 800)",528.9881111948391,279828.4217854835
95,1098,"(900, 900)",511.95580420726515,262098.74546150758
96,1098,"(1000, 1000)",518.3223782063088,268658.0877494439
97,1098,"(1100, 1100)",502.6543141501612,252661.35953376893
98,1098,"(1200, 1200)",536.5572338822393,287893.66523136
99,1098,"(1300, 1300)",516.6937974188554,266972.48029111716
100,1098,"(1400, 1400)",530.6707938478976,281611.49144315784
101,1098,"(1500, 1500)",517.6803445701914,267992.93915431213
