,batch_size,num_layers,dropout,rmse,mse
0,240,"(100,)",,523.8056388524213,274372.3472935932
1,240,"(100,)","[0.2, 0.5]",507.52918832386536,257585.87700068156
2,240,"(200,)",,499.3214225294643,249321.88299684785
3,240,"(200,)","[0.2, 0.5]",468.65285748860464,219635.50083223436
4,240,"(300,)",,495.62768433204565,245646.80147634586
5,240,"(300,)","[0.2, 0.5]",497.8177824771213,247822.54455043844
6,240,"(400,)",,499.5109777097969,249511.21685259722
7,240,"(400,)","[0.2, 0.5]",516.7795749171162,267061.1290515153
8,240,"(500,)",,490.2636669415448,240358.46312296996
9,240,"(500,)","[0.2, 0.5]",505.7804909866023,255813.90506264847
10,240,"(600,)",,525.7126400780334,276373.77993781585
11,240,"(600,)","[0.2, 0.5]",490.6538613397886,240741.2116476445
12,240,"(700,)",,510.6175808698054,260730.31389333226
13,240,"(700,)","[0.2, 0.5]",597.4748152401781,356976.154846285
14,240,"(800,)",,559.4065034364297,312935.6360869723
15,240,"(800,)","[0.2, 0.5]",601.715639226119,362061.7104892971
16,240,"(900,)",,548.8109568760144,301193.4663871665
17,240,"(900,)","[0.2, 0.5]",671.9713855823327,451545.54304144
18,240,"(1000,)",,541.1409684512954,292833.5477364059
19,240,"(1000,)","[0.2, 0.5]",613.1601850221255,375965.4124963672
20,240,"(100, 100)",,506.6586100455532,256702.94713329192
21,240,"(100, 100)","[0.2, 0.5]",561.6534076749285,315454.5503528595
22,240,"(200, 200)",,527.7873147338115,278559.4495939274
23,240,"(200, 200)","[0.2, 0.5]",513.3677059560922,263546.4015186208
24,240,"(300, 300)",,506.0932388138244,256130.3663730667
25,240,"(300, 300)","[0.2, 0.5]",631.8993519394843,399296.79098154017
26,240,"(400, 400)",,488.6588153723634,238787.43784112151
27,240,"(400, 400)","[0.2, 0.5]",585.0905033412948,342330.8971001697
28,240,"(500, 500)",,502.78417472917886,252791.92635810145
29,240,"(500, 500)","[0.2, 0.5]",559.7726104272639,313345.3753845533
30,240,"(600, 600)",,522.6108809060212,273122.1328413675
31,240,"(600, 600)","[0.2, 0.5]",699.8769665501246,489827.7683074042
32,240,"(700, 700)",,522.4734375096065,272978.4929031047
33,240,"(700, 700)","[0.2, 0.5]",589.2157666984313,347175.2197260202
34,240,"(800, 800)",,550.6644350426938,303231.32002088905
35,240,"(800, 800)","[0.2, 0.5]",534.3582789105797,285538.7702402769
36,240,"(900, 900)",,822.2806163828817,676145.4120790118
37,240,"(900, 900)","[0.2, 0.5]",682.8224670373578,466246.52149098355
38,240,"(1000, 1000)",,523.9516245581444,274525.30487711873
39,240,"(1000, 1000)","[0.2, 0.5]",684.1583955583366,468072.7102129573
40,480,"(100,)",,644.3605874534809,415200.566663395
41,480,"(100,)","[0.2, 0.5]",632.2415503353368,399729.3779704302
42,480,"(200,)",,630.1578606961782,397098.9293971839
43,480,"(200,)","[0.2, 0.5]",611.7092501706884,374188.2067443858
44,480,"(300,)",,656.9416096632583,431572.27850695286
45,480,"(300,)","[0.2, 0.5]",560.9393044290944,314652.9032533962
46,480,"(400,)",,671.5925738512212,451036.5852521081
47,480,"(400,)","[0.2, 0.5]",717.4192778974343,514690.42029887607
48,480,"(500,)",,1002.7713214726691,1005550.323168043
49,480,"(500,)","[0.2, 0.5]",701.1661849409412,491634.01890463417
50,480,"(600,)",,718.1383205802364,515722.64748580236
51,480,"(600,)","[0.2, 0.5]",671.1123850494934,450391.8333668195
52,480,"(700,)",,1049.819724078601,1102121.45306447
